,I(600V),I(800V),I(1000V),DepV
34252_009,-7.393922e-11,-7.862073e-11,-9.37446e-11,135.78087642688192
34252_008,-5.780896e-10,-6.007766e-10,-7.227104e-10,154.48410328236037
34252_018,-6.318473e-10,-6.656972e-10,-8.5118e-10,288.0
34253_049,-6.855767e-10,-7.094458e-10,-8.383241e-10,133.48998889999265
34253_036,-8.782527e-10,-9.092837e-10,-1.072894e-09,126.67190898766744
34253_037,-1.334478e-10,-1.394107e-10,-1.646441e-10,142.71982799365296
34254_041,-5.780293e-10,-5.940518e-10,-6.58479e-10,257.0
34254_014,-1.773308e-10,-1.837528e-10,-2.081706e-10,251.0
34254_025,-1.188209e-10,-1.232783e-10,-1.318978e-10,259.0
34330_2S_048,-6.623737e-11,-6.90696e-11,-7.41877e-11,134.38181198775888
34330_2S_049,-6.632941e-11,-6.919547e-11,-7.686541e-11,133.60931459349175
34331_2S_007,-6.774666e-11,-7.28407e-11,-9.308773e-11,130.05323932388873
34331_2S_042,-7.174131e-11,-7.296806e-11,-8.190749e-11,102.47520914355098
34340_014,0.0,0.0,0.0,131.0630362050517
34340_040,-7.04e-11,,,213.0
34340_007,-1.000066e-10,-1.056261e-10,-1.205828e-10,235.0
34340_039,-1.077768e-10,-1.135631e-10,-1.302446e-10,223.0
34341_024,-7.765678e-11,-7.915584e-11,-8.171876e-11,230.0
34341_012,-7.187719e-11,-7.718044e-11,-8.936007e-11,222.0
34341_041,-7.5e-11,,,225.0
34341_013,-1.013584e-10,-1.059823e-10,-1.216623e-10,233.0
34341_038,-1.438428e-10,-1.493391e-10,-1.711127e-10,221.0
34343_015,-7.594542e-11,-7.927365e-11,-8.497884e-11,240.0
34343_036,-6.96703e-11,-7.396676e-11,-8.154866e-11,241.0
36696_039,-7.85649e-11,-8.554164e-11,-1.064295e-10,309.0
36696_010,-7.775033e-11,-8.479361e-11,-1.044539e-10,300.0
36697_036,-7.154841e-11,-7.60566e-11,-8.752348e-11,252.59008521637253
36697_011,-7.948408e-11,-8.590124e-11,-1.010361e-10,255.09305330655187
37398_012,-8.869761e-11,-9.66505e-11,-1.177171e-10,285.82923294370244
37398_001,-9.419876e-11,-1.023168e-10,-1.242088e-10,283.51142376115075
37399_049,-8.106639e-11,-8.827245e-11,-1.122575e-10,200.0
37399_033,-8.045113e-11,-8.873959e-11,-1.124522e-10,200.0
